Author,Title,Excerpt,Views,Publish_Date,Link
Billy Bambrough,"Race To $1 Trillion: Crypto Price Data Reveals When Bitcoin, Ethereum, BNB, XRP, Cardano And Others Could Hit The Milestone","Crypto market price research has revealed when bitcoin, ethereum, BNB, XRP, cardano and other major cryptocurrencies could hit the $1 trillion mark if they continue to grow at their average annual growth rate...","7,283 views  |  ",6 hours ago,https://www.forbes.com/sites/billybambrough/2022/04/17/race-to-1-trillion-crypto-price-data-reveals-when-bitcoin-ethereum-bnb-xrp-cardano-and-others-could-hit-the-milestone/
Billy Bambrough,‘Critical Juncture’—Shock Crypto Price Prediction Revealed As Bitcoin And Ethereum Brace For Volatility,"The chief executive of crypto lending company Nexo has issued a huge crypto price prediction, with a crypto analyst describing the market as ""at a critical juncture""...","28,466 views  |  ","Apr 16, 2022",https://www.forbes.com/sites/billybambrough/2022/04/16/critical-juncture-shock-crypto-price-prediction-revealed-as-bitcoin-and-ethereum-brace-for-volatility/
Billy Bambrough,"Dogecoin ‘A Proxy For Twitter Stock’—Doge Price Could Soar If Elon Musk Buys Twitter, Potentially Boosting Bitcoin, Ethereum And Other Cryptocurrencies","As the dogecoin price begins to trade in tandem with Twitter stock, Musk, Vlad Tenev, the chief executive of trading app Robinhood, and FTX chief executive Sam Bankman-Fried have all weighed in on how dogecoin could help support a decentralized Twitter...","5,671 views  |  ","Apr 15, 2022",https://www.forbes.com/sites/billybambrough/2022/04/15/dogecoin-a-proxy-for-twitter-stock-doge-price-could-soar-if-elon-musk-buys-twitter-potentially-boosting-bitcoin-ethereum-and-other-cryptocurrencies/
Billy Bambrough,"‘Crypto Carnage’—BitMEX Founder Issues Serious Crash Warning And A Bleak Bitcoin And Ethereum Price Prediction As BNB, XRP, Solana, Cardano, Luna And Avalanche Dive","Arthur Hayes, the co-founder of crypto exchange BitMEX, fears the price of bitcoin and ethereum could fall much further...","44,393 views  |  ","Apr 11, 2022",https://www.forbes.com/sites/billybambrough/2022/04/11/bitmex-founder-issues-serious-crypto-crash-warning-and-a-bleak-bitcoin-and-ethereum-price-prediction-as-bnb-xrp-solana-cardano-luna-and-avalanche-tumble/
Billy Bambrough,‘Pay In Doge?’—Elon Musk’s Surprise Twitter Plan Could Sideline Bitcoin And Ethereum In Favor Of Dogecoin After Boosting Its Price,"Elon Musk, the dogecoin-backing Telsa billionaire who sent shockwaves through the bitcoin, crypto and tech world when he revealed he'd bought around 9% of Twitter this month, has posted a flurry of improvement suggestions in recent days...","19,540 views  |  ","Apr 10, 2022",https://www.forbes.com/sites/billybambrough/2022/04/10/pay-in-doge-elon-musks-surprise-twitter-plan-could-sideline-bitcoin-and-ethereum-in-favor-of-dogecoin-after-boosting-its-price/
Billy Bambrough,"E.U. Makes Sudden Move Against Crypto ‘Threat’ After The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano, Solana And Luna Made Huge Gains",The European Union (E.U.) has banned the provision of high-value cryptocurrency services to Russia as part of the latest sanctions salvo in response to the invasion of Ukraine...,"235,117","Apr 8, 2022",https://www.forbes.com/sites/billybambrough/2022/04/08/eu-makes-sudden-move-against-crypto-threat-after-the-price-of-bitcoin-ethereum-bnb-xrp-cardano-solana-and-luna-make-huge-gains/
Billy Bambrough,"$2 Trillion Crypto Crash Warning: Sudden Shock Tanks The Price Of Bitcoin, Ethereum, BNB, Luna, XRP, Solana, Cardano, Avalanche And Dogecoin","Bitcoin and major cryptocurrencies, including ethereum, BNB, luna, XRP, solana, cardano and avalanche, have suddenly moved sharply lower, wiping around $200 billion from the combined crypto market...","66,207","Apr 6, 2022",https://www.forbes.com/sites/billybambrough/2022/04/06/2-trillion-crypto-crash-warning-sudden-shock-tanks-the-price-of-bitcoin-ethereum-bnb-luna-xrp-solana-cardano-avalanche-and-dogecoin/
Billy Bambrough,‘Potentially Dramatic’—Bitcoin Could Hit $1.3 Million In This Radical Crypto Price Prediction Scenario,"One crypto price prediction has forecast a potential bitcoin price of $1.3 million—calling the ""upside"" for gold and bitcoin ""potentially dramatic""...","27,490","Apr 4, 2022",https://www.forbes.com/sites/billybambrough/2022/04/04/potentially-dramatic-bitcoin-could-hit-13-million-in-this-radical-crypto-price-prediction-scenario/
Billy Bambrough,"‘Big Surprises’—Bitcoin Could Be Set For One Of Its Biggest Ever Weeks As The Price Of Ethereum, BNB, XRP, Cardano, Solana And Luna Swing","With the bitcoin community descending on Miami this week for the Bitcoin 2022 conference and one high-profile developer teasing ""big surprises,"" the cryptocurrency market could be in for a shake up...","172,016","Apr 3, 2022",https://www.forbes.com/sites/billybambrough/2022/04/03/big-surprises-bitcoin-could-be-set-for-one-of-its-biggest-ever-weeks-as-the-price-of-ethereum-bnb-xrp-cardano-and-solana-tumble/
Billy Bambrough,"‘Market Is Not Quite Ready’—Bitcoin Billionaire Issues A Serious Crypto Warning As The Price Of Ethereum, BNB, Solana, Cardano, XRP And Luna Suddenly Crash","After El Salvador last week postponed its controversial $1 billion bitcoin-backed bond, outspoken bitcoin billionaire Michael Saylor has warned the market perhaps isn't ""quite ready"" for bitcoin-backed bonds...","57,278","Mar 31, 2022",https://www.forbes.com/sites/billybambrough/2022/03/31/market-is-not-quite-ready-bitcoin-billionaire-issues-a-serious-crypto-warning-as-the-price-of-ethereum-bnb-solana-cardano-xrp-and-luna-suddenly-crash/
Billy Bambrough,$600 Billion Crypto Boom: Bitcoin Price Prediction And Ethereum ‘Supply Squeeze’,"Bitcoin and cryptocurrencies have bounced back over the last week, with the crypto market adding some $600 billion since its January lows...","30,733","Mar 29, 2022",https://www.forbes.com/sites/billybambrough/2022/03/29/600-billion-crypto-boom-bitcoin-price-prediction-and-ethereum-supply-squeeze/
Billy Bambrough,Emergency Crypto Theft Warning Issued For Billions Of Android And iPhone Users—Coinbase And Metamask Attacks Underway,"iPhone and Android users could be at risk of having their crypto stolen by a ""sophisticated malicious cryptocurrency scheme,"" according to new research...","13,637","Mar 29, 2022",https://www.forbes.com/sites/billybambrough/2022/03/29/emergency-crypto-theft-warning-issued-for-billions-of-android-and-iphone-users-coinbase-and-metamask-attacks-underway/
Billy Bambrough,"CryptoCodex: $600 Billion Bitcoin And Crypto Boom Pushes The Price Of Ethereum, BNB, XRP, Solana And Cardano Higher",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...,"3,676","Mar 28, 2022",https://www.forbes.com/sites/billybambrough/2022/03/28/cryptocodex-600-billion-bitcoin-and-crypto-boom-pushes-the-price-of-ethereum-bnb-xrp-solana-and-cardano-higher/
Billy Bambrough,"Bitcoin And Crypto Now Braced For A $10 Trillion Earthquake As Ethereum, BNB, XRP, Solana And Cardano Soar","Bitcoin and cryptocurrencies have rebounded this week, riding a wave of good news for the crypto market...","255,742","Mar 27, 2022",https://www.forbes.com/sites/billybambrough/2022/03/27/bitcoin-and-crypto-now-braced-for-a-10-trillion-earthquake-as-ethereum-bnb-xrp-solana-and-cardano-soar/
Billy Bambrough,"Ethereum Cofounder Issues Stark NFT Warning Amid Sudden Rally In The Price Of Bitcoin, Cardano, Solana And Dogecoin",Ethereum cofounder and the project's spirital leader has warned over the direction of bitcoin and other cryptocurrencies—specifically the red-hot market for non-fungible tokens (NFTs)...,"19,328","Mar 24, 2022",https://www.forbes.com/sites/billybambrough/2022/03/24/ethereum-cofounder-issues-stark-nft-warning-amid-sudden-rally-in-the-price-of-bitcoin-cardano-solana-and-dogecoin/
Billy Bambrough,"$500 Billion Crypto Boom Suddenly Sends The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano And Solana Soaring","Bitcoin and cryptocurrency prices have rocketed higher, following global stock markets that have rebounded as investors come to terms with the Federal Reserve's inflation-busting interest rate hikes...","26,734","Mar 24, 2022",https://www.forbes.com/sites/billybambrough/2022/03/24/500-billion-crypto-boom-suddenly-sends-the-price-of-bitcoin-ethereum-bnb-xrp-cardano-and-solana-soaring/
Billy Bambrough,"‘Escape Velocity’—Huge Ethereum Upgrade Could See Its Price Leave Bitcoin, BNB, XRP, Cardano, Solana, Luna And Avalanche In The Dust","Ethereum has shot over $3,000 as traders eye a looming upgrade that many think could turbocharge the coin...","51,432","Mar 22, 2022",https://www.forbes.com/sites/billybambrough/2022/03/22/escape-velocity-huge-ethereum-upgrade-could-see-its-price-leave-bitcoin-bnb-xrp-cardano-solana-luna-and-avalanche-in-the-dust/
Billy Bambrough,‘National Strategic Military Implications’—MIT Researcher Issues Surprise U.S. Bitcoin Warning Amid Crypto Price Crash,An MIT researcher has said bitcoin can play a key role in national security—recommending the U.S. buy bitcoin to mitigate the impact of other countries possibly trying to wean themselves off their U.S. dollar dependence...,"21,722","Mar 21, 2022",https://www.forbes.com/sites/billybambrough/2022/03/21/national-strategic-military-implications-mit-researcher-issues-surprise-us-bitcoin-warning-amid-crypto-price-crash/
Billy Bambrough,CryptoCodex: Serious Bitcoin And Crypto Hack Warning As Apecoin Price Plummets,The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...,"10,934","Mar 21, 2022",https://www.forbes.com/sites/billybambrough/2022/03/21/cryptocodex-serious-bitcoin-and-crypto-hack-warning-as-apecoin-price-plummets-falls/
Billy Bambrough,"Crypto Price Prediction: Huge Bitcoin Forecast Revealed As Ethereum, BNB, XRP, Solana, Cardano, Luna And Avalanche Swing","One veteran commodities investor turned bitcoin bull has predicted the bitcoin price could soar to $200,000 in just five years—pointing to a ""compounding effect"" that could drive momentum...","128,290","Mar 20, 2022",https://www.forbes.com/sites/billybambrough/2022/03/20/crypto-price-prediction-huge-bitcoin-forecast-revealed-as-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-swing/
Billy Bambrough,Bitcoin And Crypto Price Crash Triggers Serious Coinbase Warning,"Veteran fund manager Jim Chanos has issued a serious warning over crypto exchange Coinbase—calling it a ""bubble stock""...","33,020","Mar 19, 2022",https://www.forbes.com/sites/billybambrough/2022/03/19/bitcoin-and-crypto-price-crash-triggers-serious-coinbase-warning/
Billy Bambrough,"Senator Elizabeth Warren Introduces A Game-Changing Crypto Bill As The Price Of Bitcoin, Ethereum, BNB, XRP, Luna, Cardano, Solana And Avalanche Surge","U.S. senator Elizabeth Warren (D-Mass.), a long-time crypto critic, has announced a new bill that would block bitcoin and cryptocurrency companies from doing business with those hit by sanctions...","54,111","Mar 17, 2022",https://www.forbes.com/sites/billybambrough/2022/03/17/senator-elizabeth-warren-introduces-a-game-changing-crypto-bill-as-the-price-of-bitcoin-ethereum-bnb-xrp-luna-cardano-solana-and-avalanche-surge/
Billy Bambrough,"Apple Cofounder Reveals Huge Bitcoin Price Prediction—And A Stark Crypto Warning As Ethereum, BNB, XRP, Luna, Cardano, Solana And Avalanche Ricochet","Legendary Apple cofounder Steve Wozniak has said he expects the bitcoin price to eventually hit $100,000, calling the interest in crypto ""so high""...","90,324","Mar 15, 2022",https://www.forbes.com/sites/billybambrough/2022/03/15/apple-cofounder-reveals-huge-bitcoin-price-prediction-and-a-stark-crypto-warning-as-ethereum-bnb-xrp-luna-cardano-solana-and-avalanche-ricochet/
Billy Bambrough,"CryptoCodex: Bitcoin And Crypto Are Braced For A Huge Week As The Price Of Ethereum, BNB, XRP, Solana, Cardano, Terra’s Luna And Avalanche Swing",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...,"107,162","Mar 14, 2022",https://www.forbes.com/sites/billybambrough/2022/03/14/cryptocodex-bitcoin-and-crypto-are-braced-for-a-huge-week-as-the-price-of-ethereum-bnb-xrp-solana-cardano-terras-luna-and-avalanche-swing/
Billy Bambrough,"‘I Won’t Sell’—Tesla Billionaire Elon Musk Issues Inflation Advice As The Price Of His Bitcoin, Ethereum And Dogecoin Plummet","Tesla billionaire Elon Musk has said he still owns and ""won't sell"" his bitcoin, ethereum and dogecoin—advising people not to hold dollars when inflation is high...","162,901","Mar 14, 2022",https://www.forbes.com/sites/billybambrough/2022/03/14/i-wont-sell-tesla-billionaire-elon-musk-issues-inflation-advice-as-the-price-of-his-bitcoin-ethereum-and-dogecoin-plummet/
Billy Bambrough,"The Price Of Ripple’s XRP Is Suddenly Surging As Bitcoin, Ethereum, BNB, Solana, Cardano, Terra’s Luna And Avalanche Flatline","XRP, the payments cryptocurrency developed by the company Ripple, has suddenly rocketed higher, leaving bitcoin, ethereum and other major coins in the dust...","104,261","Mar 12, 2022",https://www.forbes.com/sites/billybambrough/2022/03/12/the-price-of-ripples-xrp-is-suddenly-surging-as-bitcoin-ethereum-bnb-solana-cardano-terras-luna-and-avalanche-are-flatflining/
Billy Bambrough,A Legendary Investor Just Predicted The End Of The U.S. Dollar—And Warned Over The Future Of Bitcoin Amid Extreme Crypto Price Swings,"""What is happening with the U.S.dollar now is the end of the U.S. dollar...""","68,318","Mar 11, 2022",https://www.forbes.com/sites/billybambrough/2022/03/11/a-legendary-investor-just-predicted-the-end-of-the-us-dollar-and-warned-over-the-future-of-bitcoin-amid-extreme-crypto-price-swings/
Billy Bambrough,"Leak Reveals Biden’s Crypto Plans—Sending The Price Of Bitcoin, Ethereum, BNB, Solana, Cardano, XRP, Terra’s Luna And Avalanche Higher",Bitcoin and cryptocurrency prices have soared following the premature publication of a U.S. Treasury statement on a long-awaited Biden administration executive order...,"1,920,565","Mar 9, 2022",https://www.forbes.com/sites/billybambrough/2022/03/09/leak-reveals-bidens-crypto-plans--sending-the-price-of-bitcoin-ethereum-bnb-solana-cardano-xrp-terras-luna-and-avalanche-higher/
Billy Bambrough,"‘Bitcoin To $100,000 In Two Years’—A Former White House Comms Director Issued A Huge Crypto Price Prediction","Anthony Scaramucci, Donald Trump’s short-lived White House press secretary who launched a bitcoin fund last year, has issued a bold bitcoin price prediction...","36,803","Mar 8, 2022",https://www.forbes.com/sites/billybambrough/2022/03/08/bitcoin-to-100000-in-two-years-a-former-white-house-press-secretary-issued-a-huge-crypto-price-prediction/
Billy Bambrough,Vladimir Putin And Russia Could Trigger ‘Nuclear Apocalypse’ And ‘Armageddon’—But Investors Told To ‘Stay Bullish’,"Despite the risk of ""civilization-ending global nuclear war"" rising to 10% over the next 12 months according to one strategist, investors should ""stay bullish"" and ""largely ignore existential risk""...","27,604","Mar 6, 2022",https://www.forbes.com/sites/billybambrough/2022/03/06/vladimir-putin-and-russia-could-trigger-nuclear-apocalypse-and-armageddon-but-investors-told-to-stay-bullish/
Billy Bambrough,"‘A Bigger Earthquake Than SWIFT’—What The Russia PayPal, Visa And Mastercard Ban Means For Bitcoin And Crypto Amid Extreme Price Swings",Bitcoin and cryptocurrencies have been pushed into the spotlight over the last week as global financial sanctions on Russia come into force...,"585,308","Mar 6, 2022",https://www.forbes.com/sites/billybambrough/2022/03/06/a-bigger-earthquake-than-swift-what-the-russia-paypal-visa-and-mastercard-ban-means-for-bitcoin-and-crypto-amid-extreme-price-swings/
Billy Bambrough,A Legendary Investor Just Issued A Stark Russia Warning—Along With A ‘Bullish’ Bitcoin Price Prediction,"Legendary investor Bill Miller has warned some countries might want to consider bitcoin as a tool ""other countries cannot harm [them] with""...","73,801","Mar 5, 2022",https://www.forbes.com/sites/billybambrough/2022/03/05/a-legendary-investor-just-issued-a-stark-russia-warning-along-with-a-bullish-bitcoin-price-prediction/
Billy Bambrough,"Crypto Price Prediction: Bitcoin Could Soar To $50,000 In March As Extreme Volatility Hits Ethereum, Solana, Cardano, BNB And XRP",Many bitcoin and crypto investors are feeling upbeat—and making bold crypto price predictions...,"78,110","Mar 4, 2022",https://www.forbes.com/sites/billybambrough/2022/03/04/crypto-price-prediction-bitcoin-could-soar-to-50000-in-march-as-extreme-volatility-hit-ethereum-solana-cardano-bnb-and-xrp/
Billy Bambrough,Sanctioned Russian Oligarchs And Billionaires ‘Have Only One Option’—Bitcoin,"Russian oligarchs and billionaires hit by severe financial restrictions following the country's invasion of Ukraine are turning bitcoin, according to a London-based lawyer...","9,610","Mar 3, 2022",https://www.forbes.com/sites/billybambrough/2022/03/03/sactioned-russian-oligarchs-and-billionaires-have-only-one-option-bitcoin/
Billy Bambrough,A Legendary Billionaire Just Flipped On Crypto—And Revealed A Huge Price Bombshell Is Headed Toward Bitcoin And Ethereum,Bitcoin and cryptocurrencies have won their fair share of supporters from the world of Wall Street over the last year...,"34,373","Mar 2, 2022",https://www.forbes.com/sites/billybambrough/2022/03/02/a-legendary-billionaire-just-flipped-on-crypto-and-revealed-a-huge-price-bombshell-is-headed-toward-bitcoin-and-ethereum/
Billy Bambrough,"‘Mexico Is On The List’—Other Countries Could Soon Follow El Salvador Into Bitcoin As The Price Of Ethereum, BNB, Solana, Cardano, XRP, Terra’s Luna And Avalanche Soar","The bitcoin price has added more than 20% since dropping to lows of under $35,000 per bitcoin last week. Meanwhile, the price of ethereum and smaller coins BNB, solana, cardano, XRP, Terra's luna and avalanche have also rocketed higher...","162,851","Mar 1, 2022",https://www.forbes.com/sites/billybambrough/2022/03/01/mexico-is-on-the-list-other-countries-could-soon-follow-el-salvador-in-bitcoin-adoption-as-the-price-of-ethereum-bnb-solana-cardano-xrp-terras-luna-and-avalanche-soar/
Billy Bambrough,Bitcoin Overtakes Russia’s ‘Collapsing’ Ruble After Sudden Price Surge,Bitcoin has overtaken Russia's ruble in terms of total value as the bitcoin price surges just as the ruble goes into freefall...,"13,052","Feb 28, 2022",https://www.forbes.com/sites/billybambrough/2022/02/28/bitcoin-overtakes-russias-collapsing-ruble-after-sudden-price-surge/
Billy Bambrough,"CryptoCodex: Bitcoin, Ethereum And Crypto On The Frontline Of Financial Warfare As Extreme Price Swings Hit",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...,"3,251","Feb 28, 2022",https://www.forbes.com/sites/billybambrough/2022/02/28/cryptocodex-bitcoin-ethereum-and-crypto-on-the-frontline-of-financial-warfare-as-extreme-price-swings-hit/
Billy Bambrough,"‘Catastrophe’—Bitcoin, Ethereum And Crypto Prices Now Braced For New Russia Earthquake After SWIFT Shock","Traders are braced for more severe gyrations after Russia was kicked off the world's main international payments network SWIFT, with a former Russian Central Bank deputy chairman warning of ""catastrophe"" on the Russian currency market...","102,976","Feb 27, 2022",https://www.forbes.com/sites/billybambrough/2022/02/27/catastrophe-bitcoin-ethereum-and-crypto-prices-now-braced-for-russia-earthquake-after-swift-shock/
Billy Bambrough,"Crypto Price Alert: Serious Bitcoin Warning Issued Even As Ethereum, BNB, Solana, Cardano And XRP Rebound From Crash",The recent downturn could be the beginning of a chilling new crypto winter—a bear market that could see the price of bitcoin and ethereum fall 90% from their all-time highs...,"30,419","Feb 25, 2022",https://www.forbes.com/sites/billybambrough/2022/02/25/crypto-price-alert-serious-bitcoin-warning-issued-even-as-ethereum-bnb-solana-cardano-and-xrp-rebound-from-crash/
Billy Bambrough,"$500 Billion Crypto Price Crash: Bitcoin, Ethereum, BNB, Cardano, Solana And XRP Are Suddenly In Freefall As Russia Invades Ukraine",Bitcoin and other major cryptocurrencies have fallen sharply after Russia launched a full-scale invasion of Ukraine...,"30,172","Feb 24, 2022",https://www.forbes.com/sites/billybambrough/2022/02/24/500-billion-crypto-price-crash-bitcoin-ethereum-bnb-cardano-solana-and-xrp-are-suddenly-in-freefall-as-russia-invades-ukraine/
Billy Bambrough,"Russia-Ukraine Crisis: ‘Extreme Fear’ Sparks $400 Billion Crypto Price Crash As Bitcoin, Ethereum, BNB, Solana, Cardano And XRP Fall",Bitcoin and cryptocurrency prices have gone into free fall after Russia escalated the crisis in Ukraine deployed Russian troops to eastern regions of the country...,"33,895","Feb 22, 2022",https://www.forbes.com/sites/billybambrough/2022/02/22/russia-ukraine-crisis-extreme-fear-sparks-400-billion-crypto-price-crash-as-bitcoin-ethereum-bnb-solana-cardano-and-xrp-fall/
Billy Bambrough,‘Peak Stupid’—Cataclysmic Market Warning Issued As The Price Of Bitcoin And Ethereum Crash,One billionaire value investor has warned some are going to get badly hurt in the coming cataclysmic market shift...,"63,773","Feb 21, 2022",https://www.forbes.com/sites/billybambrough/2022/02/21/peak-stupid-cataclysmic-market-warning-issued-as-the-price-of-bitcoin-and-ethereum-crash/
Billy Bambrough,"Crypto Price Crash Panic: Serious NFT ‘Hack’ Suddenly Sends Bitcoin, Ethereum, BNB, Solana And Cardano Sharply Lower","The bitcoin price has crashed under $40,000 per bitcoin, down over 5% over the last 24 hours, while ethereum and its rivals BNB, solana, cardano are down between 6% and 8%...","103,217","Feb 20, 2022",https://www.forbes.com/sites/billybambrough/2022/02/20/crypto-price-crash-panic-serious-nft-hack-suddenly-sends-bitcoin-ethereum-bnb-solana-and-cardano-sharply-lower/
Billy Bambrough,"Crypto Crash: Bitcoin Now Braced For A $100 Trillion Bombshell That Could Boost The Price Of Ethereum, BNB, Solana, Cardano And XRP",Outspoken bitcoin and crypto bull Tom Lee has said he expects a portion of almost $100 trillion worth of wealth to eventually flow into crypto markets...,"142,098","Feb 18, 2022",https://www.forbes.com/sites/billybambrough/2022/02/18/crypto-crash-bitcoin-now-braced-for-a-100-trillion-bombshell-that-could-boost-the-price-of-ethereum-bnb-solana-cardano-and-xrp/
Billy Bambrough,"Russia-Ukraine Crisis Sparks $200 Billion Crypto Price Crash With Bitcoin, Ethereum, BNB, Solana, Cardano And XRP Suddenly In Free Fall",The bitcoin and crypto price crash comes alongside a stock market plunge sparked by comments made by U.S. president Joe Biden that Russia could invade Ukraine in a matter of days...,"16,209","Feb 17, 2022",https://www.forbes.com/sites/billybambrough/2022/02/17/russia-ukraine-crisis-sparks-200-billion-crypto-price-crash-with-bitcoin-ethereum-bnb-solana-cardano-and-xrp-suddenly-in-free-fall/
Billy Bambrough,"Crypto Data Reveals Potential Surprise For The Price Of Bitcoin And Ethereum As BNB, Solana, Cardano And XRP Whipsaw","Bitcoin and ethereum, the two largest cryptocurrencies, have struggled so far in 2022—with some with predicting further falls could be coming...","11,463","Feb 14, 2022",https://www.forbes.com/sites/billybambrough/2022/02/14/crypto-data-reveals-potential-surprise-for-the-price-of-bitcoin-and-ethereum-as-bnb-solana-cardano-and-xrp-whipsaw/
