id,author,title,link,publish_date,views,excerpt
0,Billy Bambrough,Tesla Billionaire Elon Musk Has Suddenly Sent The Price Of ‘Joke’ Bitcoin Rival Dogecoin Sharply Higher,https://www.forbes.com/sites/billybambrough/2022/04/25/tesla-billionaire-elon-musk-has-suddenly-sent-the-price-of-joke-bitcoin-rival-dogecoin-sharply-higher/,8 hours ago,"9,118 views  |  ","Dogecoin﻿﻿, the meme-based, tongue-in-cheek bitcoin rival that's a favorite of Tesla﻿ billionaire Elon Musk, has suddenly leaped higher—even as the bitcoin price dives..."
1,Billy Bambrough,"CryptoCodex: Coinbase CEO Reveals Surprise Crypto Prediction As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana, Cardano And Luna Crash",https://www.forbes.com/sites/billybambrough/2022/04/25/cryptocodex-coinbase-ceo-reveals-surprise-crypto-prediction-as-the-price-of-bitcoin-ethereum-bnb-xrp-solana-cardano-and-luna-crash/,10 hours ago,"7,641 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
2,Billy Bambrough,‘Target The Bitcoin Price’—Internal Documents Reveal How The EU Could Crack Down On Bitcoin And ‘Protect’ Ethereum,https://www.forbes.com/sites/billybambrough/2022/04/24/target-the-bitcoin-price-internal-documents-reveal-how-the-eu-could-try-to-ban-bitcoin-and-protect-ethereum/,"Apr 24, 2022","13,698 views  |  ",Internal European Union documents have revealed the extent of anti-bitcoin talks among EU officials...
3,Billy Bambrough,Serious ‘Fast Evolving’ Global Crypto ‘Threat’ Warning After Huge Bitcoin And Ethereum Price Swings,https://www.forbes.com/sites/billybambrough/2022/04/23/fast-evolving-global-crypto-threat-warning-after-huge-bitcoin-and-ethereum-price-surge/,"Apr 23, 2022","20,362 views  |  ","Bitcoin﻿﻿, ethereum and other ""fast evolving"" cryptocurrencies could soon become a threat to global financial stability, according to the chair of an international body tasked with shoring up the financial system..."
4,Billy Bambrough,"Massive 2022 ‘All-Time High’ Bitcoin Price Prediction Comes With A Serious Ethereum, BNB, XRP, Solana, Cardano, Luna And Avalanche Warning",https://www.forbes.com/sites/billybambrough/2022/04/21/massive-2022-all-time-high-bitcoin-price-prediction-comes-with-a-serious-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-warning/,"Apr 21, 2022","245,726 views  |  ","A panel of cryptocurrency experts has predicted the bitcoin price will peak at almost $82,000 in 2022 before dropping to just above $65,000 by the end of the year..."
5,Billy Bambrough,‘Many Single Points Of Failure’—Twitter Founder Jack Dorsey Issues Stark Ethereum Warning Amid Price Volatility,https://www.forbes.com/sites/billybambrough/2022/04/21/many-single-points-of-failure-twitter-founder-jack-dorsey-issues-stark-ethereum-warning-amid-price-volatility/,"Apr 21, 2022","118,272 views  |  ","Jack Dorsey has made a scathing attack on ethereum, warning it ""has many single points of failure"" and calling ethereum-based projects ""not interesting""..."
6,Billy Bambrough,"‘Single Dumbest Thing They Could Do’—‘SPAC King’ Issues Stark Visa And Mastercard Crypto Warning As The Price Of Bitcoin, Ethereum, BNB, XRP, Solana And Cardano Surge",https://www.forbes.com/sites/billybambrough/2022/04/19/single-dumbest-thing-they-could-do-spac-king-issues-stark-visa-and-mastercard-crypto-warning-as-the-price-of-bitcoin-ethereum-bnb-xrp-solana-and-cardano-surge/,"Apr 19, 2022","27,827 views  |  ","Chamath Palihapitiya, a former Facebook executive who runs the venture capital fund Social Capital, has warned there's ""a swarm of activity [coming] to dismantle"" Visa and Mastercard..."
7,Billy Bambrough,"‘Absolute Disaster’—Serious Crypto Price Crash Warning Issued After Bitcoin, Ethereum, BNB, XRP, Solana, Cardano, Luna, And Avalanche Go Into Free Fall",https://www.forbes.com/sites/billybambrough/2022/04/18/absolute-disaster-serious-crypto-price-crash-warning-issued-after-bitcoin-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-go-into-free-fall/,"Apr 18, 2022","323,272 views  |  ","The combined crypto market has lost almost $400 billion since early April, as top ten cryptocurrencies including Binance's BNB, Ripple's XRP, solana, cardano, luna and avalanche struggle..."
8,Billy Bambrough,"Race To $1 Trillion: Crypto Price Data Reveals When Bitcoin, Ethereum, BNB, XRP, Cardano And Others Could Hit The Milestone",https://www.forbes.com/sites/billybambrough/2022/04/17/race-to-1-trillion-crypto-price-data-reveals-when-bitcoin-ethereum-bnb-xrp-cardano-and-others-could-hit-the-milestone/,"Apr 17, 2022","57,444 views  |  ","Crypto market price research has revealed when bitcoin, ethereum, BNB, XRP, cardano and other major cryptocurrencies could hit the $1 trillion mark if they continue to grow at their average annual growth rate..."
9,Billy Bambrough,‘Critical Juncture’—Shock Crypto Price Prediction Revealed As Bitcoin And Ethereum Brace For Volatility,https://www.forbes.com/sites/billybambrough/2022/04/16/critical-juncture-shock-crypto-price-prediction-revealed-as-bitcoin-and-ethereum-brace-for-volatility/,"Apr 16, 2022","43,126 views  |  ","The chief executive of crypto lending company Nexo has issued a huge crypto price prediction, with a crypto analyst describing the market as ""at a critical juncture""..."
10,Billy Bambrough,"Dogecoin ‘A Proxy For Twitter Stock’—Doge Price Could Soar If Elon Musk Buys Twitter, Potentially Boosting Bitcoin, Ethereum And Other Cryptocurrencies",https://www.forbes.com/sites/billybambrough/2022/04/15/dogecoin-a-proxy-for-twitter-stock-doge-price-could-soar-if-elon-musk-buys-twitter-potentially-boosting-bitcoin-ethereum-and-other-cryptocurrencies/,"Apr 15, 2022","10,488 views  |  ","As the dogecoin price begins to trade in tandem with Twitter stock, Musk, Vlad Tenev, the chief executive of trading app Robinhood, and FTX chief executive Sam Bankman-Fried have all weighed in on how dogecoin could help support a decentralized Twitter..."
11,Billy Bambrough,"‘Crypto Carnage’—BitMEX Founder Issues Serious Crash Warning And A Bleak Bitcoin And Ethereum Price Prediction As BNB, XRP, Solana, Cardano, Luna And Avalanche Dive",https://www.forbes.com/sites/billybambrough/2022/04/11/bitmex-founder-issues-serious-crypto-crash-warning-and-a-bleak-bitcoin-and-ethereum-price-prediction-as-bnb-xrp-solana-cardano-luna-and-avalanche-tumble/,"Apr 11, 2022","46,506 views  |  ","Arthur Hayes, the co-founder of crypto exchange BitMEX, fears the price of bitcoin and ethereum could fall much further..."
12,Billy Bambrough,‘Pay In Doge?’—Elon Musk’s Surprise Twitter Plan Could Sideline Bitcoin And Ethereum In Favor Of Dogecoin After Boosting Its Price,https://www.forbes.com/sites/billybambrough/2022/04/10/pay-in-doge-elon-musks-surprise-twitter-plan-could-sideline-bitcoin-and-ethereum-in-favor-of-dogecoin-after-boosting-its-price/,"Apr 10, 2022","19,986 views  |  ","Elon Musk, the dogecoin-backing Telsa billionaire who sent shockwaves through the bitcoin, crypto and tech world when he revealed he'd bought around 9% of Twitter this month, has posted a flurry of improvement suggestions in recent days..."
13,Billy Bambrough,"E.U. Makes Sudden Move Against Crypto ‘Threat’ After The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano, Solana And Luna Made Huge Gains",https://www.forbes.com/sites/billybambrough/2022/04/08/eu-makes-sudden-move-against-crypto-threat-after-the-price-of-bitcoin-ethereum-bnb-xrp-cardano-solana-and-luna-make-huge-gains/,"Apr 8, 2022","235,966 views  |  ",The European Union (E.U.) has banned the provision of high-value cryptocurrency services to Russia as part of the latest sanctions salvo in response to the invasion of Ukraine...
14,Billy Bambrough,"$2 Trillion Crypto Crash Warning: Sudden Shock Tanks The Price Of Bitcoin, Ethereum, BNB, Luna, XRP, Solana, Cardano, Avalanche And Dogecoin",https://www.forbes.com/sites/billybambrough/2022/04/06/2-trillion-crypto-crash-warning-sudden-shock-tanks-the-price-of-bitcoin-ethereum-bnb-luna-xrp-solana-cardano-avalanche-and-dogecoin/,"Apr 6, 2022","67,225 views  |  ","Bitcoin and major cryptocurrencies, including ethereum, BNB, luna, XRP, solana, cardano and avalanche, have suddenly moved sharply lower, wiping around $200 billion from the combined crypto market..."
15,Billy Bambrough,‘Potentially Dramatic’—Bitcoin Could Hit $1.3 Million In This Radical Crypto Price Prediction Scenario,https://www.forbes.com/sites/billybambrough/2022/04/04/potentially-dramatic-bitcoin-could-hit-13-million-in-this-radical-crypto-price-prediction-scenario/,"Apr 4, 2022","28,588 views  |  ","One crypto price prediction has forecast a potential bitcoin price of $1.3 million—calling the ""upside"" for gold and bitcoin ""potentially dramatic""..."
16,Billy Bambrough,"‘Big Surprises’—Bitcoin Could Be Set For One Of Its Biggest Ever Weeks As The Price Of Ethereum, BNB, XRP, Cardano, Solana And Luna Swing",https://www.forbes.com/sites/billybambrough/2022/04/03/big-surprises-bitcoin-could-be-set-for-one-of-its-biggest-ever-weeks-as-the-price-of-ethereum-bnb-xrp-cardano-and-solana-tumble/,"Apr 3, 2022","172,237 views  |  ","With the bitcoin community descending on Miami this week for the Bitcoin 2022 conference and one high-profile developer teasing ""big surprises,"" the cryptocurrency market could be in for a shake up..."
17,Billy Bambrough,"‘Market Is Not Quite Ready’—Bitcoin Billionaire Issues A Serious Crypto Warning As The Price Of Ethereum, BNB, Solana, Cardano, XRP And Luna Suddenly Crash",https://www.forbes.com/sites/billybambrough/2022/03/31/market-is-not-quite-ready-bitcoin-billionaire-issues-a-serious-crypto-warning-as-the-price-of-ethereum-bnb-solana-cardano-xrp-and-luna-suddenly-crash/,"Mar 31, 2022","57,516 views  |  ","After El Salvador last week postponed its controversial $1 billion bitcoin-backed bond, outspoken bitcoin billionaire Michael Saylor has warned the market perhaps isn't ""quite ready"" for bitcoin-backed bonds..."
18,Billy Bambrough,$600 Billion Crypto Boom: Bitcoin Price Prediction And Ethereum ‘Supply Squeeze’,https://www.forbes.com/sites/billybambrough/2022/03/29/600-billion-crypto-boom-bitcoin-price-prediction-and-ethereum-supply-squeeze/,"Mar 29, 2022","31,034 views  |  ","Bitcoin and cryptocurrencies have bounced back over the last week, with the crypto market adding some $600 billion since its January lows..."
19,Billy Bambrough,Emergency Crypto Theft Warning Issued For Billions Of Android And iPhone Users—Coinbase And Metamask Attacks Underway,https://www.forbes.com/sites/billybambrough/2022/03/29/emergency-crypto-theft-warning-issued-for-billions-of-android-and-iphone-users-coinbase-and-metamask-attacks-underway/,"Mar 29, 2022","13,850 views  |  ","iPhone and Android users could be at risk of having their crypto stolen by a ""sophisticated malicious cryptocurrency scheme,"" according to new research..."
20,Billy Bambrough,"CryptoCodex: $600 Billion Bitcoin And Crypto Boom Pushes The Price Of Ethereum, BNB, XRP, Solana And Cardano Higher",https://www.forbes.com/sites/billybambrough/2022/03/28/cryptocodex-600-billion-bitcoin-and-crypto-boom-pushes-the-price-of-ethereum-bnb-xrp-solana-and-cardano-higher/,"Mar 28, 2022","3,687 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
21,Billy Bambrough,"Bitcoin And Crypto Now Braced For A $10 Trillion Earthquake As Ethereum, BNB, XRP, Solana And Cardano Soar",https://www.forbes.com/sites/billybambrough/2022/03/27/bitcoin-and-crypto-now-braced-for-a-10-trillion-earthquake-as-ethereum-bnb-xrp-solana-and-cardano-soar/,"Mar 27, 2022","255,993 views  |  ","Bitcoin and cryptocurrencies have rebounded this week, riding a wave of good news for the crypto market..."
22,Billy Bambrough,"Ethereum Cofounder Issues Stark NFT Warning Amid Sudden Rally In The Price Of Bitcoin, Cardano, Solana And Dogecoin",https://www.forbes.com/sites/billybambrough/2022/03/24/ethereum-cofounder-issues-stark-nft-warning-amid-sudden-rally-in-the-price-of-bitcoin-cardano-solana-and-dogecoin/,"Mar 24, 2022","19,457 views  |  ",Ethereum cofounder and the project's spirital leader has warned over the direction of bitcoin and other cryptocurrencies—specifically the red-hot market for non-fungible tokens (NFTs)...
23,Billy Bambrough,"$500 Billion Crypto Boom Suddenly Sends The Price Of Bitcoin, Ethereum, BNB, XRP, Cardano And Solana Soaring",https://www.forbes.com/sites/billybambrough/2022/03/24/500-billion-crypto-boom-suddenly-sends-the-price-of-bitcoin-ethereum-bnb-xrp-cardano-and-solana-soaring/,"Mar 24, 2022","26,870 views  |  ","Bitcoin and cryptocurrency prices have rocketed higher, following global stock markets that have rebounded as investors come to terms with the Federal Reserve's inflation-busting interest rate hikes..."
24,Billy Bambrough,"‘Escape Velocity’—Huge Ethereum Upgrade Could See Its Price Leave Bitcoin, BNB, XRP, Cardano, Solana, Luna And Avalanche In The Dust",https://www.forbes.com/sites/billybambrough/2022/03/22/escape-velocity-huge-ethereum-upgrade-could-see-its-price-leave-bitcoin-bnb-xrp-cardano-solana-luna-and-avalanche-in-the-dust/,"Mar 22, 2022","51,652 views  |  ","Ethereum has shot over $3,000 as traders eye a looming upgrade that many think could turbocharge the coin..."
25,Billy Bambrough,‘National Strategic Military Implications’—MIT Researcher Issues Surprise U.S. Bitcoin Warning Amid Crypto Price Crash,https://www.forbes.com/sites/billybambrough/2022/03/21/national-strategic-military-implications-mit-researcher-issues-surprise-us-bitcoin-warning-amid-crypto-price-crash/,"Mar 21, 2022","21,761 views  |  ",An MIT researcher has said bitcoin can play a key role in national security—recommending the U.S. buy bitcoin to mitigate the impact of other countries possibly trying to wean themselves off their U.S. dollar dependence...
26,Billy Bambrough,CryptoCodex: Serious Bitcoin And Crypto Hack Warning As Apecoin Price Plummets,https://www.forbes.com/sites/billybambrough/2022/03/21/cryptocodex-serious-bitcoin-and-crypto-hack-warning-as-apecoin-price-plummets-falls/,"Mar 21, 2022","10,967 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
27,Billy Bambrough,"Crypto Price Prediction: Huge Bitcoin Forecast Revealed As Ethereum, BNB, XRP, Solana, Cardano, Luna And Avalanche Swing",https://www.forbes.com/sites/billybambrough/2022/03/20/crypto-price-prediction-huge-bitcoin-forecast-revealed-as-ethereum-bnb-xrp-solana-cardano-luna-and-avalanche-swing/,"Mar 20, 2022","128,723 views  |  ","One veteran commodities investor turned bitcoin bull has predicted the bitcoin price could soar to $200,000 in just five years—pointing to a ""compounding effect"" that could drive momentum..."
28,Billy Bambrough,Bitcoin And Crypto Price Crash Triggers Serious Coinbase Warning,https://www.forbes.com/sites/billybambrough/2022/03/19/bitcoin-and-crypto-price-crash-triggers-serious-coinbase-warning/,"Mar 19, 2022","33,119 views  |  ","Veteran fund manager Jim Chanos has issued a serious warning over crypto exchange Coinbase—calling it a ""bubble stock""..."
29,Billy Bambrough,"Senator Elizabeth Warren Introduces A Game-Changing Crypto Bill As The Price Of Bitcoin, Ethereum, BNB, XRP, Luna, Cardano, Solana And Avalanche Surge",https://www.forbes.com/sites/billybambrough/2022/03/17/senator-elizabeth-warren-introduces-a-game-changing-crypto-bill-as-the-price-of-bitcoin-ethereum-bnb-xrp-luna-cardano-solana-and-avalanche-surge/,"Mar 17, 2022","54,170 views  |  ","U.S. senator Elizabeth Warren (D-Mass.), a long-time crypto critic, has announced a new bill that would block bitcoin and cryptocurrency companies from doing business with those hit by sanctions..."
30,Billy Bambrough,"Apple Cofounder Reveals Huge Bitcoin Price Prediction—And A Stark Crypto Warning As Ethereum, BNB, XRP, Luna, Cardano, Solana And Avalanche Ricochet",https://www.forbes.com/sites/billybambrough/2022/03/15/apple-cofounder-reveals-huge-bitcoin-price-prediction-and-a-stark-crypto-warning-as-ethereum-bnb-xrp-luna-cardano-solana-and-avalanche-ricochet/,"Mar 15, 2022","90,487 views  |  ","Legendary Apple cofounder Steve Wozniak has said he expects the bitcoin price to eventually hit $100,000, calling the interest in crypto ""so high""..."
31,Billy Bambrough,"CryptoCodex: Bitcoin And Crypto Are Braced For A Huge Week As The Price Of Ethereum, BNB, XRP, Solana, Cardano, Terra’s Luna And Avalanche Swing",https://www.forbes.com/sites/billybambrough/2022/03/14/cryptocodex-bitcoin-and-crypto-are-braced-for-a-huge-week-as-the-price-of-ethereum-bnb-xrp-solana-cardano-terras-luna-and-avalanche-swing/,"Mar 14, 2022","107,192 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
32,Billy Bambrough,"‘I Won’t Sell’—Tesla Billionaire Elon Musk Issues Inflation Advice As The Price Of His Bitcoin, Ethereum And Dogecoin Plummet",https://www.forbes.com/sites/billybambrough/2022/03/14/i-wont-sell-tesla-billionaire-elon-musk-issues-inflation-advice-as-the-price-of-his-bitcoin-ethereum-and-dogecoin-plummet/,"Mar 14, 2022","163,031 views  |  ","Tesla billionaire Elon Musk has said he still owns and ""won't sell"" his bitcoin, ethereum and dogecoin—advising people not to hold dollars when inflation is high..."
33,Billy Bambrough,"The Price Of Ripple’s XRP Is Suddenly Surging As Bitcoin, Ethereum, BNB, Solana, Cardano, Terra’s Luna And Avalanche Flatline",https://www.forbes.com/sites/billybambrough/2022/03/12/the-price-of-ripples-xrp-is-suddenly-surging-as-bitcoin-ethereum-bnb-solana-cardano-terras-luna-and-avalanche-are-flatflining/,"Mar 12, 2022","104,305 views  |  ","XRP, the payments cryptocurrency developed by the company Ripple, has suddenly rocketed higher, leaving bitcoin, ethereum and other major coins in the dust..."
34,Billy Bambrough,A Legendary Investor Just Predicted The End Of The U.S. Dollar—And Warned Over The Future Of Bitcoin Amid Extreme Crypto Price Swings,https://www.forbes.com/sites/billybambrough/2022/03/11/a-legendary-investor-just-predicted-the-end-of-the-us-dollar-and-warned-over-the-future-of-bitcoin-amid-extreme-crypto-price-swings/,"Mar 11, 2022","68,397 views  |  ","""What is happening with the U.S.dollar now is the end of the U.S. dollar..."""
35,Billy Bambrough,"Leak Reveals Biden’s Crypto Plans—Sending The Price Of Bitcoin, Ethereum, BNB, Solana, Cardano, XRP, Terra’s Luna And Avalanche Higher",https://www.forbes.com/sites/billybambrough/2022/03/09/leak-reveals-bidens-crypto-plans--sending-the-price-of-bitcoin-ethereum-bnb-solana-cardano-xrp-terras-luna-and-avalanche-higher/,"Mar 9, 2022","1,920,977 views  |  ",Bitcoin and cryptocurrency prices have soared following the premature publication of a U.S. Treasury statement on a long-awaited Biden administration executive order...
36,Billy Bambrough,"‘Bitcoin To $100,000 In Two Years’—A Former White House Comms Director Issued A Huge Crypto Price Prediction",https://www.forbes.com/sites/billybambrough/2022/03/08/bitcoin-to-100000-in-two-years-a-former-white-house-press-secretary-issued-a-huge-crypto-price-prediction/,"Mar 8, 2022","36,822 views  |  ","Anthony Scaramucci, Donald Trump’s short-lived White House press secretary who launched a bitcoin fund last year, has issued a bold bitcoin price prediction..."
37,Billy Bambrough,Vladimir Putin And Russia Could Trigger ‘Nuclear Apocalypse’ And ‘Armageddon’—But Investors Told To ‘Stay Bullish’,https://www.forbes.com/sites/billybambrough/2022/03/06/vladimir-putin-and-russia-could-trigger-nuclear-apocalypse-and-armageddon-but-investors-told-to-stay-bullish/,"Mar 6, 2022","27,631 views  |  ","Despite the risk of ""civilization-ending global nuclear war"" rising to 10% over the next 12 months according to one strategist, investors should ""stay bullish"" and ""largely ignore existential risk""..."
38,Billy Bambrough,"‘A Bigger Earthquake Than SWIFT’—What The Russia PayPal, Visa And Mastercard Ban Means For Bitcoin And Crypto Amid Extreme Price Swings",https://www.forbes.com/sites/billybambrough/2022/03/06/a-bigger-earthquake-than-swift-what-the-russia-paypal-visa-and-mastercard-ban-means-for-bitcoin-and-crypto-amid-extreme-price-swings/,"Mar 6, 2022","585,418 views  |  ",Bitcoin and cryptocurrencies have been pushed into the spotlight over the last week as global financial sanctions on Russia come into force...
39,Billy Bambrough,A Legendary Investor Just Issued A Stark Russia Warning—Along With A ‘Bullish’ Bitcoin Price Prediction,https://www.forbes.com/sites/billybambrough/2022/03/05/a-legendary-investor-just-issued-a-stark-russia-warning-along-with-a-bullish-bitcoin-price-prediction/,"Mar 5, 2022","73,816 views  |  ","Legendary investor Bill Miller has warned some countries might want to consider bitcoin as a tool ""other countries cannot harm [them] with""..."
40,Billy Bambrough,"Crypto Price Prediction: Bitcoin Could Soar To $50,000 In March As Extreme Volatility Hits Ethereum, Solana, Cardano, BNB And XRP",https://www.forbes.com/sites/billybambrough/2022/03/04/crypto-price-prediction-bitcoin-could-soar-to-50000-in-march-as-extreme-volatility-hit-ethereum-solana-cardano-bnb-and-xrp/,"Mar 4, 2022","78,208 views  |  ",Many bitcoin and crypto investors are feeling upbeat—and making bold crypto price predictions...
41,Billy Bambrough,Sanctioned Russian Oligarchs And Billionaires ‘Have Only One Option’—Bitcoin,https://www.forbes.com/sites/billybambrough/2022/03/03/sactioned-russian-oligarchs-and-billionaires-have-only-one-option-bitcoin/,"Mar 3, 2022","9,629 views  |  ","Russian oligarchs and billionaires hit by severe financial restrictions following the country's invasion of Ukraine are turning bitcoin, according to a London-based lawyer..."
42,Billy Bambrough,A Legendary Billionaire Just Flipped On Crypto—And Revealed A Huge Price Bombshell Is Headed Toward Bitcoin And Ethereum,https://www.forbes.com/sites/billybambrough/2022/03/02/a-legendary-billionaire-just-flipped-on-crypto-and-revealed-a-huge-price-bombshell-is-headed-toward-bitcoin-and-ethereum/,"Mar 2, 2022","34,432 views  |  ",Bitcoin and cryptocurrencies have won their fair share of supporters from the world of Wall Street over the last year...
43,Billy Bambrough,"‘Mexico Is On The List’—Other Countries Could Soon Follow El Salvador Into Bitcoin As The Price Of Ethereum, BNB, Solana, Cardano, XRP, Terra’s Luna And Avalanche Soar",https://www.forbes.com/sites/billybambrough/2022/03/01/mexico-is-on-the-list-other-countries-could-soon-follow-el-salvador-in-bitcoin-adoption-as-the-price-of-ethereum-bnb-solana-cardano-xrp-terras-luna-and-avalanche-soar/,"Mar 1, 2022","162,951 views  |  ","The bitcoin price has added more than 20% since dropping to lows of under $35,000 per bitcoin last week. Meanwhile, the price of ethereum and smaller coins BNB, solana, cardano, XRP, Terra's luna and avalanche have also rocketed higher..."
44,Billy Bambrough,Bitcoin Overtakes Russia’s ‘Collapsing’ Ruble After Sudden Price Surge,https://www.forbes.com/sites/billybambrough/2022/02/28/bitcoin-overtakes-russias-collapsing-ruble-after-sudden-price-surge/,"Feb 28, 2022","13,061 views  |  ",Bitcoin has overtaken Russia's ruble in terms of total value as the bitcoin price surges just as the ruble goes into freefall...
45,Billy Bambrough,"CryptoCodex: Bitcoin, Ethereum And Crypto On The Frontline Of Financial Warfare As Extreme Price Swings Hit",https://www.forbes.com/sites/billybambrough/2022/02/28/cryptocodex-bitcoin-ethereum-and-crypto-on-the-frontline-of-financial-warfare-as-extreme-price-swings-hit/,"Feb 28, 2022","3,253 views  |  ",The following is an excerpt from the daily CryptoCodex email newsletter. Sign up now for free here...
46,Billy Bambrough,"‘Catastrophe’—Bitcoin, Ethereum And Crypto Prices Now Braced For New Russia Earthquake After SWIFT Shock",https://www.forbes.com/sites/billybambrough/2022/02/27/catastrophe-bitcoin-ethereum-and-crypto-prices-now-braced-for-russia-earthquake-after-swift-shock/,"Feb 27, 2022","102,994 views  |  ","Traders are braced for more severe gyrations after Russia was kicked off the world's main international payments network SWIFT, with a former Russian Central Bank deputy chairman warning of ""catastrophe"" on the Russian currency market..."
